-,-,-
19, 3, 1019
28, 31, 1016
22, 28, 1056
22, 28, 1056
38, 50, 1134
12, 33, 1110
60, 43, 1116
60, 43, 1116
50, 24, 1093
7, 41, 1053
111, 28, 1042
111, 28, 1042
150, 14, 1058
148, -11, 1060
240, -1, 991
337, 10, 893
337, 10, 893
419, 4, 854
478, 0, 849
501, 3, 876
501, 3, 876
536, -8, 865
608, -1, 849
608, -1, 849
663, 23, 698
713, 76, 678
724, 86, 607
724, 86, 607
808, 68, 575
778, 39, 560
805, 17, 586
805, 17, 586
783, -32, 638
785, -55, 638
853, -10, 530
890, -31, 417
890, -31, 417
907, -30, 364
899, -34, 447
896, -55, 425
905, -69, 368
921, -42, 427
921, -42, 427
934, -50, 409
939, -28, 317
946, -21, 266
-,-,-
-17, 20, 1089
68, -8, 1191
68, -8, 1191
78, 57, 1046
94, 119, 1035
89, 61, 1050
89, 61, 1050
97, 22, 1050
115, -26, 1052
148, 1, 1029
219, 41, 1035
219, 41, 1035
274, 65, 1059
398, 37, 1022
437, 46, 923
442, 94, 841
442, 94, 841
476, 68, 780
603, 91, 747
706, 18, 657
706, 18, 657
716, -118, 574
755, 0, 518
840, -36, 452
840, -36, 452
864, 0, 309
906, 6, 202
948, -110, 287
961, -73, 209
961, -73, 209
1003, 14, 118
1026, 19, 71
1037, 50, 93
1037, 50, 93
-,-,-
160, -72, 1001
-97, -7, 1042
-24, 40, 1165
-7, 36, 1030
-7, 36, 1030
-20, 31, 1152
77, 117, 1033
26, 31, 1095
26, 31, 1095
84, 11, 1068
126, 24, 1072
174, 28, 1037
246, 38, 940
246, 38, 940
286, 25, 952
338, 32, 1009
377, 24, 1026
377, 24, 1026
438, 7, 898
459, 23, 819
531, 40, 761
531, 40, 761
609, 27, 745
685, 12, 693
721, 36, 625
721, 36, 625
743, 13, 592
801, 20, 521
847, -11, 474
863, 10, 426
863, 10, 426
861, -37, 433
917, -24, 300
945, -22, 293
945, -22, 293
983, 0, 101
976, 17, 179
974, -26, 90
974, -26, 90
977, -22, 104
1003, 4, 72
1071, 174, 73
1003, 20, 29
1003, 20, 29
998, 20, 23
994, 15, -25
1003, 19, -33
1003, 19, -33
1006, 22, -90
1003, 22, -86
1003, 27, 17
-,-,-
49, 54, 1055
-56, -8, 1118
-15, 14, 1155
-15, 14, 1155
60, 112, 1184
2, 83, 996
37, 80, 1055
37, 80, 1055
93, 73, 997
163, 62, 998
234, 2, 1002
234, 2, 1002
295, -48, 974
371, 4, 972
404, 56, 944
404, 56, 944
465, 60, 916
515, 79, 839
561, 113, 815
561, 113, 757
628, 93, 757
660, -93, 693
686, -63, 662
708, 53, 632
708, 53, 632
785, 70, 467
733, -25, 436
869, -126, 582
852, -18, 505
852, -18, 505
951, 9, 297
978, 0, 187
970, -34, 226
970, -34, 226
972, -42, 167
981, -55, 136
984, -47, 103
997, 3, 39
997, 3, 39
985, 23, 65
1059, 110, 106
995, 220, 142
995, 220, 142
1003, 5, 42
1005, 29, 17
989, 7, 19
989, 7, 19
996, 12, -24
1007, 28, -32
1007, 28, -32
1006, 25, -70
-,-,-
222, -41, 1094
258, -8, 1038
293, 37, 1005
352, 0, 964
405, 10, 925
405, 10, 925
459, 36, 872
518, 33, 851
561, -4, 798
561, -4, 798
583, -8, 747
624, -3, 790
662, 15, 845
662, 15, 845
681, -5, 749
718, 0, 645
718, 0, 578
759, 3, 578
797, -26, 548
837, -59, 565
864, -2, 551
864, -2, 551
891, 41, 514
923, 40, 391
983, -10, 287
983, -10, 287
982, -70, 309
983, -51, 394
992, -60, 246
977, -24, 163
977, -24, 163
995, -26, 86
999, -74, 0
994, -89, 44
994, -89, 44
963, -98, 74
963, -82, 36
968, -94, -150
941, -42, -166
941, -42, -166
944, -28, -160
965, -45, -140
973, -59, -122
971, -35, -190
951, 13, -172
951, 13, -172
932, 43, -97
899, -11, -104
933, -73, -163
-,-,-
10, 19, 1004
18, 18, 1023
18, 18, 1023
0, 23, 1076
2, 19, 1101
2, 19, 1101
-8, 18, 1068
45, 49, 1077
32, 33, 1059
32, 33, 1059
114, 50, 1043
81, 28, 1020
123, 24, 1030
